age,gender,census_region,n
47,Male,Northeast,457
47,Male,Midwest,209
47,Male,South,699
47,Male,West,764
48,Female,Northeast,527
48,Female,Midwest,239
48,Female,South,844
48,Female,West,995
48,Male,Northeast,447
48,Male,Midwest,204
48,Male,South,671
48,Male,West,797
49,Female,Northeast,546
49,Female,Midwest,233
49,Female,South,848
49,Female,West,968
49,Male,Northeast,439
49,Male,Midwest,227
49,Male,South,714
49,Male,West,808
50,Female,Northeast,565
50,Female,Midwest,259
50,Female,South,819
50,Female,West,942
50,Male,Northeast,465
50,Male,Midwest,226
50,Male,South,733
50,Male,West,824
51,Female,Northeast,592
51,Female,Midwest,223
51,Female,South,866
51,Female,West,1010
51,Male,Northeast,488
51,Male,Midwest,246
51,Male,South,733
51,Male,West,917
52,Female,Northeast,530
52,Female,Midwest,227
52,Female,South,776
52,Female,West,935
52,Male,Northeast,459
52,Male,Midwest,202
52,Male,South,723
52,Male,West,820
53,Female,Northeast,566
53,Female,Midwest,224
53,Female,South,886
53,Female,West,917
53,Male,Northeast,520
53,Male,Midwest,224
53,Male,South,795
53,Male,West,890
54,Female,Northeast,583
54,Female,Midwest,218
54,Female,South,870
54,Female,West,953
54,Male,Northeast,512
54,Male,Midwest,250
54,Male,South,766
54,Male,West,834
55,Female,Northeast,615
55,Female,Midwest,234
55,Female,South,869
55,Female,West,1007
55,Male,Northeast,506
55,Male,Midwest,227
55,Male,South,819
55,Male,West,891
56,Female,Northeast,637
56,Female,Midwest,195
56,Female,South,898
56,Female,West,1015
56,Male,Northeast,548
56,Male,Midwest,236
56,Male,South,803
56,Male,West,883
57,Female,Northeast,576
57,Female,Midwest,208
57,Female,South,820
57,Female,West,989
57,Male,Northeast,491
57,Male,Midwest,233
57,Male,South,757
57,Male,West,843
58,Female,Northeast,593
58,Female,Midwest,237
58,Female,South,794
58,Female,West,966
58,Male,Northeast,563
58,Male,Midwest,181
58,Male,South,725
58,Male,West,866
59,Female,Northeast,607
59,Female,Midwest,226
59,Female,South,890
59,Female,West,966
59,Male,Northeast,530
59,Male,Midwest,214
59,Male,South,697
59,Male,West,915
60,Female,Northeast,563
60,Female,Midwest,218
60,Female,South,842
60,Female,West,1019
60,Male,Northeast,499
60,Male,Midwest,212
60,Male,South,685
60,Male,West,870
61,Female,Northeast,613
61,Female,Midwest,210
61,Female,South,832
61,Female,West,1009
61,Male,Northeast,483
61,Male,Midwest,194
61,Male,South,732
61,Male,West,841
62,Female,Northeast,522
62,Female,Midwest,196
62,Female,South,749
62,Female,West,986
62,Male,Northeast,483
